,dataset,train_mode,word_len,epochs,batch_size,start_time,end_time,total_keyword,x_train,x_test,loss,accuracy,total_accept,total_reject,rejection_rate
0,arxiv,3,200,1,1,19-08-27_21:59:10,19-08-27_22:02:03,126,18930,9466,0.14,0.958,8605,861,0.091
1,arxiv,3,200,1000,8,19-08-27_22:19:41,19-08-27_22:36:35,126,18930,9466,0.127,0.964,8604,862,0.091
2,imdb,3,200,1,1,19-08-27_19:07:40,19-08-27_19:13:27,125,25000,25000,0.281,0.92,17476,7524,0.301
3,arxiv,1,100,1000,8,19-08-27_22:00:27,19-08-27_22:19:36,71,18930,9466,0.127,0.963,6510,2956,0.312
4,arxiv,3,300,1000,8,19-08-27_22:41:58,19-08-27_23:01:10,167,18930,9466,0.127,0.965,8875,591,0.062
5,imdb,2,200,1000,8,19-08-27_21:04:12,19-08-27_21:11:18,125,25000,25000,0.256,0.919,17399,7601,0.304
6,arxiv,1,300,1000,8,19-08-27_22:41:58,19-08-27_23:07:22,167,18930,9466,0.164,0.943,6570,2896,0.306
7,imdb,1,200,1,1,19-08-27_18:56:36,19-08-27_19:01:39,125,25000,25000,0.486,0.744,11968,13032,0.521
8,arxiv,2,100,1,1,19-08-27_21:56:24,19-08-27_21:59:05,71,18930,9466,0.148,0.946,7016,2450,0.259
9,arxiv,3,300,1,1,19-08-27_22:02:09,19-08-27_22:05:26,167,18930,9466,0.14,0.957,8894,572,0.06
10,arxiv,1,200,1000,8,19-08-27_22:19:41,19-08-27_22:41:52,126,18930,9466,0.147,0.95,6950,2516,0.266
11,imdb,1,300,1000,8,19-08-27_20:56:15,19-08-27_21:05:21,170,25000,25000,0.271,0.911,19001,5999,0.24
12,arxiv,3,100,1,1,19-08-27_21:55:43,19-08-27_21:58:17,71,18930,9466,0.146,0.951,7016,2450,0.259
13,imdb,2,300,1,1,19-08-27_19:02:13,19-08-27_19:08:19,170,25000,25000,0.284,0.915,19393,5607,0.224
14,arxiv,2,200,1,1,19-08-27_21:59:10,19-08-27_22:02:00,126,18930,9466,0.138,0.96,8590,876,0.093
15,imdb,1,300,1,1,19-08-27_18:56:44,19-08-27_19:02:04,170,25000,25000,0.575,0.684,14023,10977,0.439
16,imdb,3,300,1000,8,19-08-27_21:13:20,19-08-27_21:21:09,170,25000,25000,0.27,0.915,19413,5587,0.223
17,imdb,3,100,1,1,19-08-27_19:06:48,19-08-27_19:12:13,73,25000,25000,0.278,0.927,13899,11101,0.444
18,arxiv,3,100,1,1,19-08-27_21:56:24,19-08-27_21:59:03,71,18930,9466,0.151,0.949,7076,2390,0.252
19,arxiv,2,200,1000,8,19-08-27_22:19:41,19-08-27_22:36:23,126,18930,9466,0.125,0.962,8617,849,0.09
20,imdb,1,100,1000,8,19-08-27_20:55:54,19-08-27_21:03:15,73,25000,25000,0.237,0.927,13593,11407,0.456
21,imdb,3,300,1,1,19-08-27_19:08:29,19-08-27_19:14:51,170,25000,25000,0.284,0.915,19395,5605,0.224
22,imdb,2,100,1,1,19-08-27_19:01:20,19-08-27_19:06:39,73,25000,25000,0.278,0.927,13898,11102,0.444
23,arxiv,2,100,1000,8,19-08-27_22:00:27,19-08-27_22:15:12,71,18930,9466,0.131,0.972,7020,2446,0.258
24,imdb,2,300,1000,8,19-08-27_21:05:32,19-08-27_21:13:10,170,25000,25000,0.27,0.915,19412,5588,0.224
25,arxiv,1,200,1,1,19-08-27_21:59:10,19-08-27_22:01:30,126,18930,9466,0.3,0.875,4654,4812,0.508
26,imdb,1,100,1,1,19-08-27_18:56:29,19-08-27_19:01:12,73,25000,25000,0.454,0.798,9574,15426,0.617
27,arxiv,3,100,1000,8,19-08-27_22:00:27,19-08-27_22:15:02,71,18930,9466,0.118,0.972,7003,2463,0.26
28,arxiv,1,300,1,1,19-08-27_22:02:09,19-08-27_22:04:54,167,18930,9466,0.293,0.882,4914,4552,0.481
29,imdb,1,200,1000,8,19-08-27_20:56:05,19-08-27_21:04:02,125,25000,25000,0.254,0.918,17071,7929,0.317
30,arxiv,1,100,1,1,19-08-27_21:55:43,19-08-27_21:57:48,71,18930,9466,0.286,0.87,3775,5691,0.601
31,arxiv,2,100,1,1,19-08-27_21:55:43,19-08-27_21:58:18,71,18930,9466,0.15,0.951,6980,2486,0.263
32,arxiv,2,300,1,1,19-08-27_22:02:09,19-08-27_22:05:23,167,18930,9466,0.137,0.959,8880,586,0.062
33,imdb,2,200,1,1,19-08-27_19:01:48,19-08-27_19:07:30,125,25000,25000,0.281,0.92,17477,7523,0.301
34,arxiv,2,300,1000,8,19-08-27_22:41:58,19-08-27_23:00:46,167,18930,9466,0.123,0.964,8881,585,0.062
35,imdb,2,100,1000,8,19-08-27_21:03:24,19-08-27_21:10:01,73,25000,25000,0.236,0.928,13815,11185,0.447
36,imdb,3,200,1000,8,19-08-27_21:11:28,19-08-27_21:18:18,125,25000,25000,0.257,0.919,17427,7573,0.303
37,imdb,3,100,1000,8,19-08-27_21:10:10,19-08-27_21:16:43,73,25000,25000,0.236,0.929,13826,11174,0.447
38,arxiv,1,100,1,1,19-08-27_21:56:24,19-08-27_21:58:37,71,18930,9466,0.29,0.871,3775,5691,0.601
